Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchased/recieved/opened on ,Finished on ,Comments,Invoice no.,Invoice date
,"SS tray, 10'x12' ",1,,,Lab supplies trivandrum,Jan 12 2023,,,R0001449,2023-01-12 00:00:00
,"SS tray, 10'x8",1,,,"Vanchinad Medicals and Surgicals TC1/1643 Opp Medical collage post office TVM-695 011 Ph: 0471-2444912, 2443912, 9447144912, 9846027000 Email: vanchisurgicals@rediffmail.com",Jan 16 2023,,,MBB-3147,2023-01-16 00:00:00
,"SS tray, 12'x8",1,,,Vanchinad Medicals and Surgicals,Jan 16 2023,,,MBB-3147,2023-01-16 00:00:00
,Shoe rack,1,,Plantex,"Accurate Products and Services, Plot No.59, Road No.5, Kathwada GIDC, Odhav, Ahmedabad, Gujarat-382415",2023-01-08 00:00:00,Ordered through Amazon,,QWH3-169120,2023-01-08 00:00:00
,"Solenoid coil TP-23-08-1/4"" and No return valve 1/4 NRV14",1,,,"Subhikshyam Pneumatics 22-23, TC 39/1610(5), Manacaud P.O., TVM-32, Ph: 9447070393, 7012630638, Email: subhikshyamtvm@gmail.com",2023-03-02 00:00:00,,No return  valve has returned,SB/22-23/765,2023-03-02 00:00:00
,,,,,,,,,,
,Steam indication tape,1,1,"Himedia (Cat no. LA984-1No, Size 18mm (1no= 1x55mt), Lot no. 0000552275","Sabari scientific supplies Scientific Supplies           Sreepankajam Building, Police Quarters Road, Nemom, Thiruvananthapuram - 695020                                                          Ph-9447863355, 9746438384                             Email: Sabari scientific supplieslabsupplies@gmail.com            http://www.Sabari scientific suppliesscientificsupplies.com", Jan 14 2023,,,BB-193,2023-01-14 00:00:00
,"Stool, Plastic",1,,Supreme Furniture,,,,Bill is not available,,
,Stopcock for aspirators,1,,,ILE,2024-03-04 00:00:00,,,TVM/23-24/2214,2024-03-04 00:00:00
,Stopcock for aspirators,1,,,ILE,2024-04-18 00:00:00,,,TVM/24-25/0087,2024-04-17 00:00:00
,"Stirrer 9 x 305 mm,9850409 (Glass rod)",3,,,ILE,29-08-24,,,TVM/24-25/0987,29-08-24
,Scrub ( washing),1,,S-Brite  10 cm x6 cm,Lulu ,2024-06-10 00:00:00,,,608464,2024-06-10 00:00:00
,"Table, Plastic",1,,,,,,Bill is not available,,
,Tools,,,,,,,,,
,Tools combination plier,1,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",2023-05-19 00:00:00,,,B2B07818/2223,2023-05-19 00:00:00
,Tools combination plier,1,,,,,,Bill is not available,,
,Tools wire stripper,1,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",2023-05-19 00:00:00,,,B2B07818/2223,2023-05-19 00:00:00
,Tester,1,,,,,,Bill is not available,,
,Tools- screw driver set,1,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",Feb 07 2023,,,B2B06639/2223,2023-02-07 00:00:00
,Spanner,4,,,,,,Bill is not available,,
,,,,,,,,,,
,Tripod stand,1,,,Lulu,Feb 02 2023,,,49/61161,2023-02-02 00:00:00
,Teflon magnet,,,,,,,,,
,Teflon magnet,2,9 X 25 mm GSC,,Lab supplies trivandrum,2023-01-12 00:00:00,,,R0001449,2023-01-12 00:00:00
,Teflon magnet,1,10 X55 mm GSC,,Lab supplies trivandrum,,,,R0001449,2023-01-12 00:00:00
,"Test seives Brass, 4""micns",1,,,Sabari scientific supplies,2023-05-04 00:00:00,,,BB-14,2023-05-04 00:00:00
,"Test tube stand, 24 holes, ss",1,,,United Scietific and Educational Suppliers Pvt.Ltd. ,Jan 12 2023,,,610,2023-01-12 00:00:00
,Tea bag,8,,,"MRT Metal Mart, Aryasalai, Chalai, TVM,Ph:04712461349",2023-01-16 00:00:00,,,"A0210140, A0210142 ",2023-01-16 00:00:00
,Iron tea kambi,1,,,"MRT Metal Mart, Aryasalai, Chalai, TVM,Ph:04712461349",2023-01-16 00:00:00,,,A0210140,2023-01-16 00:00:00
,UV mini light,1,1,,"AR Bhat Technologies PVT. Ltd. 8/2 115, Gujarathi Road, Mattancherry, Cochin- 682 002 Ph: 0484-2228202/2227676 Email: sales@arbhat.com",Received on 08-01-2024,,,GSAT326/23-24,2023-01-08 00:00:00
,Water pump electric,,,,,,,,,
,Water pump electric,1,,,"Pothys Retail Pvt. Ltd. Nikunjam City Square, MG Road, TVM-695 001 Ph: 0471-4000399, 2574233",Jan 16 2023,,,10/974826,2023-01-16 00:00:00
,Water pump electric,1,,Venus aqua,"Jainsons, E-62, First Floor, Sector-7, Nioda, UP-201301",2023-05-10 00:00:00,,,IN-4802,2023-05-10 00:00:00
,Whatman filter paper ,,,,,,,"Stock:WFP1 -, WFP-2-1",,
,Whatman filter paper 1,1,100 circles,Whatman,United Scietific and Educational Suppliers Pvt.Ltd. ,Jan 12 2023,,,610,2023-01-12 00:00:00
,Whatman filter paper 42,1,,Whatman,ILE,2023-05-05 00:00:00,Finished,,TVM/23-24/0160,2023-05-05 00:00:00
,Whatman filter paper 42,1,,Whatman,ILE,2023-07-20 00:00:00,Finished,,TVM/23-24/0626,2023-07-20 00:00:00
,Whatman filter paper 42,1,,Whatman,ILE,2023-12-15 00:00:00,,,TVM/23-24/1612,2023-12-15 00:00:00
,Whatman filter paper 42,1,,Whatman,ILE,22-10-24,,,TVM/24-25/1381,22-10-24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,ID CARD,2,,,,,,,,
,ID CARD,1,,,Engineers books centre and library,2024-04-06 00:00:00,,,1387,2024-04-06 00:00:00
,ID card holder,1,,,Engineers books centre and library,2024-04-06 00:00:00,,,1387,2024-04-06 00:00:00
,PVC self adhesive vinyl for covering PBR,1,,,"Bhavani Stickers, TC28/1976-1, Shankar building, Sreekandeswaram, Thakaraparambu road, TVM, 0471-4250776, 9633313650",16-05-24,,,B2B\107,16-05-24
,,,,,,,,,,
,Lab coat -Devi,2,,,Index clothing company Pvt.Ltd,2024-11-07 00:00:00,,,BB-277,2024-11-07 00:00:00
,Lab coat -Merin,2,,,Index clothing company Pvt.Ltd,2024-09-10 00:00:00,,,BB-405,2024-09-10 00:00:00
,,,,,,,,,,
,Transport charges -Technico,,,,A1 travels and speed parcel service,21/02/25,,,6791,21/02/25
,Transportation charges - CO2 ,,,,Meera Traders,2025-10-03 00:00:00,,,M2425B/921,2025-10-03 00:00:00
,,,,,,,,,,
,C02 cylinder deposit ,,,,Meera Traders,,,Rs.10000/- has been paid as cylinder deposit ,528,2025-10-03 00:00:00
